INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
17,1,1267,0,53,0,11,130795.00,No,0.00,z_No,M,PhD,,64,Commercial,28340.00,6,Panel Truck,yes,0.00,0,No,3,10,Highly Urban/ Urban
19,1,2920.16732,0,45,0,0,0.00,No,106859.00,Yes,z_F,<High School,Home Maker,48,Private,6000.00,1,z_SUV,no,0.00,0,No,3,5,Highly Urban/ Urban
20,0,0,0,39,3,12,51884.00,Yes,180951.00,z_No,z_F,Bachelors,Clerical,43,Private,10590.00,6,z_SUV,no,0.00,0,No,0,13,z_Highly Rural/ Rural
22,0,0,0,42,0,11,59945.00,No,192207.00,Yes,M,Masters,Lawyer,42,Private,14190.00,6,Minivan,no,0.00,0,No,0,16,Highly Urban/ Urban
23,0,0,0,34,3,13,34019.00,No,91875.00,Yes,z_F,Masters,Lawyer,27,Private,8300.00,7,z_SUV,no,0.00,0,No,0,20,Highly Urban/ Urban
24,0,0,0,31,2,12,18903.00,No,93797.00,Yes,z_F,<High School,Clerical,48,Private,17330.00,4,Minivan,no,0.00,0,No,0,7,Highly Urban/ Urban
25,1,6857,0,28,1,13,44077.00,No,170598.00,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710.00,6,z_SUV,no,8935.00,2,No,0,1,Highly Urban/ Urban
26,1,3627,0,43,0,13,37214.00,No,,Yes,M,<High School,z_Blue Collar,52,Commercial,26560.00,1,Panel Truck,yes,0.00,0,No,3,1,Highly Urban/ Urban
27,0,0,0,48,0,14,96274.00,No,282904.00,Yes,z_F,Masters,Lawyer,36,Private,11130.00,6,z_SUV,no,8250.00,1,No,5,14,Highly Urban/ Urban
28,0,0,0,47,0,11,46281.00,No,0.00,z_No,z_F,<High School,z_Blue Collar,29,Private,19700.00,10,Minivan,no,0.00,0,No,1,5,Highly Urban/ Urban
29,0,0,2,44,2,0,0.00,No,82344.00,Yes,z_F,z_High School,Home Maker,8,Private,5900.00,6,z_SUV,no,3338.00,3,No,0,11,Highly Urban/ Urban
32,0,0,0,33,1,13,79606.00,No,225962.00,Yes,z_F,Bachelors,Professional,27,Private,16830.00,9,z_SUV,no,0.00,0,No,2,15,z_Highly Rural/ Rural
33,1,4486,0,32,1,9,31275.00,No,118160.00,Yes,z_F,z_High School,Clerical,26,Private,10030.00,1,z_SUV,no,0.00,0,No,0,1,Highly Urban/ Urban
34,0,0,1,44,2,17,45488.00,No,219378.00,Yes,M,Bachelors,Manager,16,Private,22090.00,17,Minivan,no,0.00,0,No,0,12,Highly Urban/ Urban
35,0,0,0,35,0,8,72193.00,No,0.00,z_No,z_F,Bachelors,Clerical,26,Private,12220.00,6,z_SUV,no,0.00,0,No,3,12,Highly Urban/ Urban
36,0,0,0,40,2,0,,No,98777.00,Yes,z_F,Masters,Home Maker,15,Private,14130.00,6,z_SUV,no,38127.00,2,Yes,4,12,z_Highly Rural/ Rural
38,0,0,0,49,0,5,49244.00,No,163444.00,Yes,M,Bachelors,Clerical,30,Private,15880.00,1,Minivan,no,0.00,0,No,1,1,Highly Urban/ Urban
40,0,0,0,52,0,8,51278.00,No,230340.00,Yes,z_F,Bachelors,Professional,37,Private,1500.00,4,z_SUV,no,0.00,0,No,1,10,Highly Urban/ Urban
41,0,0,0,41,0,7,92842.00,No,286113.00,z_No,M,Masters,,12,Commercial,25810.00,6,Panel Truck,no,1431.00,2,No,5,15,Highly Urban/ Urban
42,0,0,0,39,0,10,35081.00,No,202839.00,Yes,M,Bachelors,z_Blue Collar,38,Commercial,16640.00,4,Van,yes,0.00,0,No,0,13,Highly Urban/ Urban
43,0,0,0,56,0,0,0.00,No,63827.00,Yes,z_F,PhD,Home Maker,65,Private,13220.00,1,Minivan,no,0.00,0,No,0,12,z_Highly Rural/ Rural
44,0,0,0,49,0,12,115044.00,No,311980.00,z_No,z_F,PhD,Doctor,18,Private,17900.00,1,Minivan,no,0.00,0,No,0,14,Highly Urban/ Urban
45,0,0,0,38,0,11,37754.00,No,138823.00,Yes,z_F,z_High School,Clerical,47,Private,12080.00,1,z_SUV,no,0.00,0,No,2,9,z_Highly Rural/ Rural
46,0,0,0,43,2,17,145353.00,No,418785.00,Yes,z_F,Masters,,38,Commercial,29450.00,6,Van,no,0.00,0,No,0,15,Highly Urban/ Urban
48,0,0,0,63,0,15,121398.00,No,343410.00,Yes,z_F,PhD,Doctor,10,Private,16270.00,1,z_SUV,no,0.00,0,No,0,11,Highly Urban/ Urban
49,0,0,0,52,0,0,0.00,No,87925.00,z_No,z_F,z_High School,Student,48,Commercial,9280.00,1,z_SUV,no,0.00,0,No,1,6,z_Highly Rural/ Rural
50,0,0,0,35,0,7,14508.00,No,0.00,Yes,M,Bachelors,Student,22,Commercial,6450.00,1,Pickup,no,0.00,0,No,0,7,Highly Urban/ Urban
51,0,0,0,43,0,13,75338.00,No,270555.00,Yes,z_F,Bachelors,Manager,40,Private,23080.00,1,Sports Car,no,0.00,0,No,0,8,Highly Urban/ Urban
52,0,0,0,41,0,10,32774.00,No,0.00,z_No,z_F,z_High School,Clerical,44,Private,20120.00,4,Minivan,no,0.00,0,No,0,1,z_Highly Rural/ Rural
53,0,0,0,40,0,11,57474.00,No,186418.00,Yes,M,Bachelors,Clerical,5,Commercial,29270.00,4,Panel Truck,yes,0.00,0,No,1,5,Highly Urban/ Urban
54,0,0,0,31,1,12,26520.00,No,154493.00,Yes,M,Bachelors,Student,62,Commercial,4600.00,6,Minivan,yes,0.00,0,No,2,5,Highly Urban/ Urban
55,0,0,0,47,0,8,18444.00,No,0.00,Yes,z_F,z_High School,Student,35,Commercial,19450.00,6,z_SUV,no,2981.00,2,No,5,,Highly Urban/ Urban
56,0,0,0,53,0,,107259.00,No,343700.00,Yes,M,Masters,Professional,36,Private,29230.00,10,Minivan,yes,0.00,0,No,0,15,Highly Urban/ Urban
57,0,0,0,39,3,7,34046.00,No,183383.00,Yes,z_F,z_High School,Clerical,33,Private,4040.00,6,z_SUV,no,0.00,0,No,0,5,z_Highly Rural/ Rural
58,0,0,0,33,3,14,32364.00,No,152894.00,Yes,M,<High School,Clerical,40,Private,12270.00,18,Minivan,yes,0.00,0,No,3,1,Highly Urban/ Urban
59,0,0,0,59,0,5,106775.00,No,,z_No,M,Masters,Lawyer,10,Private,31930.00,1,Minivan,yes,0.00,0,No,0,,Highly Urban/ Urban
61,1,6100,0,40,0,11,16989.00,No,0.00,z_No,M,<High School,z_Blue Collar,20,Commercial,12230.00,4,Pickup,yes,26104.00,1,Yes,13,6,Highly Urban/ Urban
65,1,8840.683568,0,44,2,15,16352.00,No,134164.00,Yes,z_F,z_High School,Home Maker,37,Private,10520.00,1,z_SUV,no,7838.00,1,No,1,1,Highly Urban/ Urban
66,0,0,0,56,0,16,44760.00,No,164852.00,Yes,M,Bachelors,Manager,30,Private,21770.00,13,Minivan,yes,0.00,0,No,0,6,Highly Urban/ Urban
67,1,2117,1,45,1,14,63952.00,No,196368.00,Yes,z_F,Masters,Lawyer,50,Private,32340.00,6,Van,no,27877.00,2,Yes,0,13,Highly Urban/ Urban
69,0,0,0,48,0,,,No,252896.00,Yes,M,Bachelors,Professional,14,Commercial,28560.00,13,Panel Truck,yes,1554.00,5,No,1,10,Highly Urban/ Urban
70,1,3532,1,44,2,,24060.00,Yes,0.00,z_No,M,Bachelors,Clerical,24,Private,14220.00,4,Minivan,no,0.00,0,No,0,10,Highly Urban/ Urban
71,1,866,0,33,4,12,20822.00,No,76022.00,Yes,z_F,z_High School,Home Maker,46,Private,6880.00,13,z_SUV,no,7896.00,3,No,0,1,Highly Urban/ Urban
72,0,0,0,32,3,14,54968.00,No,146784.00,Yes,z_F,z_High School,Professional,20,Private,10040.00,4,z_SUV,no,0.00,0,Yes,0,8,Highly Urban/ Urban
73,1,7786,0,34,0,8,14194.00,No,87034.00,z_No,z_F,<High School,Clerical,13,Private,2920.00,4,Sports Car,no,24767.00,3,Yes,2,10,Highly Urban/ Urban
74,0,0,1,38,4,12,2149.00,No,72889.00,Yes,z_F,<High School,Home Maker,35,Private,22690.00,10,Pickup,no,0.00,0,No,2,1,Highly Urban/ Urban
77,1,4148,2,43,3,11,137103.00,Yes,0.00,z_No,z_F,Masters,Manager,29,Private,19510.00,1,Sports Car,no,8890.00,3,No,0,15,Highly Urban/ Urban
78,0,0,0,49,0,9,,No,0.00,z_No,M,PhD,,31,Commercial,33710.00,3,Panel Truck,no,34351.00,2,Yes,2,18,Highly Urban/ Urban
79,0,0,0,46,0,10,79538.00,No,0.00,z_No,z_F,Bachelors,Manager,13,Private,14050.00,3,Minivan,no,0.00,0,Yes,2,11,Highly Urban/ Urban
80,0,0,0,45,1,11,185836.00,No,509115.00,Yes,z_F,PhD,Lawyer,28,Private,10250.00,1,z_SUV,no,4307.00,3,No,6,20,Highly Urban/ Urban
81,0,0,0,46,0,14,,No,397661.00,z_No,M,Masters,,22,Commercial,33320.00,4,Panel Truck,yes,0.00,0,Yes,1,12,Highly Urban/ Urban
82,0,0,0,45,0,11,61931.00,No,213530.00,Yes,M,Masters,,30,Commercial,10910.00,13,Pickup,yes,25106.00,2,No,0,,Highly Urban/ Urban
84,0,0,0,63,0,9,74426.00,No,0.00,z_No,z_F,PhD,Doctor,11,Private,27600.00,1,z_SUV,no,0.00,0,No,0,18,Highly Urban/ Urban
85,0,0,0,44,0,9,74722.00,No,231034.00,Yes,z_F,Bachelors,Professional,9,Private,23640.00,6,Minivan,no,0.00,0,No,0,1,Highly Urban/ Urban
86,1,2371,1,45,2,11,102393.00,Yes,0.00,z_No,M,Bachelors,Professional,25,Private,1500.00,1,Minivan,yes,0.00,0,No,2,11,Highly Urban/ Urban
88,0,0,0,48,0,0,0.00,No,98920.00,Yes,z_F,z_High School,Home Maker,50,Private,8660.00,3,Sports Car,no,8363.00,2,No,3,,Highly Urban/ Urban
89,1,4804,1,37,2,12,,No,205211.00,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,5200.00,1,z_SUV,no,2718.00,1,No,1,3,Highly Urban/ Urban
90,0,0,0,35,0,,29371.00,No,0.00,z_No,z_F,<High School,Clerical,49,Private,4860.00,10,Sports Car,no,0.00,0,No,0,1,Highly Urban/ Urban
91,1,1354,0,48,0,12,31773.00,No,165090.00,Yes,M,z_High School,Clerical,14,Commercial,9640.00,13,Pickup,no,1212.00,1,No,4,1,Highly Urban/ Urban
93,0,0,0,49,0,0,0.00,No,159389.00,Yes,z_F,Masters,Professional,42,Private,6400.00,10,z_SUV,no,9115.00,1,No,6,14,Highly Urban/ Urban
94,0,0,0,44,2,15,139330.00,Yes,316900.00,z_No,z_F,z_High School,z_Blue Collar,35,Commercial,22050.00,10,Sports Car,no,0.00,0,No,0,1,z_Highly Rural/ Rural
95,0,0,0,50,0,13,163296.00,No,447616.00,z_No,z_F,PhD,Lawyer,42,Private,22830.00,1,Minivan,no,0.00,0,No,0,14,z_Highly Rural/ Rural
96,0,0,0,30,1,10,17455.00,Yes,140978.00,z_No,z_F,<High School,z_Blue Collar,50,Private,12380.00,13,Minivan,no,0.00,0,No,0,6,z_Highly Rural/ Rural
97,0,0,0,54,0,,71007.00,No,240833.00,Yes,M,Bachelors,Manager,61,Private,14000.00,6,Minivan,no,0.00,0,No,0,11,Highly Urban/ Urban
99,1,2425,0,53,0,6,38036.00,No,153381.00,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,13140.00,1,z_SUV,no,0.00,0,No,4,1,Highly Urban/ Urban
100,0,0,0,53,0,13,41199.00,No,150933.00,z_No,z_F,Bachelors,Manager,21,Private,15360.00,1,z_SUV,no,0.00,0,No,0,8,Highly Urban/ Urban
101,0,0,0,29,1,10,38042.00,Yes,202967.00,z_No,M,z_High School,Professional,15,Private,15160.00,6,Minivan,no,0.00,0,No,0,1,Highly Urban/ Urban
102,0,0,0,58,0,11,91223.00,No,0.00,z_No,M,Masters,Lawyer,23,Private,10620.00,6,Pickup,no,0.00,0,No,0,,Highly Urban/ Urban
103,0,0,0,55,0,7,45787.00,No,173196.00,Yes,z_F,Masters,Lawyer,5,Private,19380.00,6,Minivan,no,0.00,0,No,0,13,Highly Urban/ Urban
104,0,0,0,55,0,,84964.00,No,227091.00,Yes,M,Bachelors,z_Blue Collar,21,Commercial,5760.00,1,Pickup,yes,969.00,2,No,6,11,Highly Urban/ Urban
105,0,0,0,56,0,8,38240.00,No,190675.00,Yes,z_F,z_High School,Clerical,28,Private,16220.00,4,z_SUV,no,0.00,0,No,0,,z_Highly Rural/ Rural
108,0,0,0,34,0,11,51565.00,No,0.00,z_No,M,Masters,Lawyer,36,Private,18110.00,1,Van,yes,759.00,2,No,3,15,Highly Urban/ Urban
109,1,5711,0,34,3,0,0.00,No,66358.00,Yes,z_F,z_High School,Home Maker,25,Private,11740.00,9,z_SUV,no,1800.00,2,No,2,1,Highly Urban/ Urban
110,0,0,0,36,0,11,105384.00,No,267509.00,Yes,M,Masters,Professional,24,Private,13800.00,7,Minivan,yes,31695.00,3,Yes,4,17,Highly Urban/ Urban
111,1,13105.32763,0,41,0,10,66265.00,No,159276.00,Yes,M,Masters,Lawyer,59,Private,12230.00,4,Minivan,yes,0.00,0,No,1,9,Highly Urban/ Urban
112,1,4061,0,46,0,7,,No,,z_No,M,Masters,,17,Commercial,23350.00,13,Panel Truck,yes,4678.00,3,No,6,17,Highly Urban/ Urban
114,0,0,0,42,0,9,76226.00,No,217920.00,Yes,M,Bachelors,z_Blue Collar,18,Commercial,23390.00,13,Panel Truck,yes,0.00,0,No,0,14,Highly Urban/ Urban
115,0,0,1,38,3,16,7528.00,No,113809.00,Yes,M,<High School,Clerical,26,Private,8080.00,1,Pickup,yes,0.00,0,No,0,8,z_Highly Rural/ Rural
116,1,7838,0,33,4,0,0.00,Yes,0.00,z_No,M,z_High School,Student,14,Commercial,15090.00,1,Minivan,yes,1631.00,1,No,2,5,Highly Urban/ Urban
117,1,3660,0,37,0,0,,No,73890.00,Yes,z_F,Bachelors,Student,48,Commercial,12850.00,7,z_SUV,no,0.00,0,No,3,6,Highly Urban/ Urban
118,0,0,1,42,1,9,32797.00,No,160661.00,Yes,z_F,Masters,Lawyer,63,Private,21690.00,1,Minivan,no,0.00,0,No,2,14,Highly Urban/ Urban
119,1,5125,0,47,0,11,44705.00,No,217885.00,Yes,z_F,Bachelors,Professional,50,Private,12840.00,1,z_SUV,no,1533.00,2,No,0,10,Highly Urban/ Urban
121,0,0,0,52,0,9,68992.00,No,216986.00,z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,15120.00,1,Minivan,no,0.00,0,No,3,10,z_Highly Rural/ Rural
122,0,0,0,43,0,11,132561.00,No,314433.00,z_No,M,Masters,Professional,8,Commercial,30150.00,16,Panel Truck,no,12294.00,1,No,0,1,Highly Urban/ Urban
124,0,0,0,66,1,17,96830.00,No,325826.00,Yes,M,Masters,Professional,23,Private,11180.00,7,z_SUV,no,0.00,0,No,0,16,Highly Urban/ Urban
127,1,2143,0,52,0,7,64014.00,No,244863.00,Yes,M,<High School,z_Blue Collar,33,Commercial,7900.00,4,Pickup,yes,8882.00,3,No,1,5,Highly Urban/ Urban
130,0,0,1,38,1,7,,No,0.00,Yes,z_F,z_High School,Student,40,Private,7050.00,4,Sports Car,no,0.00,0,No,0,10,z_Highly Rural/ Rural
132,0,0,0,47,0,14,,No,276241.00,Yes,M,Bachelors,Manager,48,Private,21320.00,1,Van,yes,0.00,0,No,0,13,Highly Urban/ Urban
133,0,0,0,37,0,12,123520.00,No,383731.00,Yes,M,Bachelors,z_Blue Collar,14,Commercial,17550.00,1,Van,no,0.00,0,No,0,,Highly Urban/ Urban
134,0,0,0,47,0,13,45257.00,No,160051.00,Yes,M,Bachelors,Clerical,33,Commercial,29210.00,6,Panel Truck,yes,0.00,0,No,0,,Highly Urban/ Urban
136,0,0,1,61,2,17,41857.00,No,169015.00,Yes,z_F,Masters,Manager,35,Private,20870.00,1,Sports Car,no,0.00,0,No,0,21,Highly Urban/ Urban
137,1,2114,0,41,1,8,126468.00,Yes,0.00,z_No,z_F,Masters,Manager,34,Commercial,32690.00,3,Pickup,no,0.00,0,No,2,18,Highly Urban/ Urban
138,0,0,3,40,3,9,75516.00,No,247673.00,Yes,z_F,z_High School,z_Blue Collar,53,Commercial,13050.00,5,Sports Car,no,0.00,0,Yes,0,6,z_Highly Rural/ Rural
139,0,0,0,52,0,16,76954.00,No,249290.00,z_No,M,Bachelors,Professional,44,Private,19540.00,6,Minivan,yes,0.00,0,Yes,0,11,Highly Urban/ Urban
140,0,0,0,58,1,8,150352.00,No,421665.00,Yes,z_F,Masters,Manager,21,Private,24240.00,6,Pickup,no,0.00,0,No,0,17,Highly Urban/ Urban
142,1,8671,1,38,1,12,37580.00,No,173495.00,Yes,z_F,<High School,Clerical,36,Private,5260.00,7,z_SUV,no,867.00,2,No,0,1,Highly Urban/ Urban
143,1,6287,0,41,2,15,23344.00,No,147172.00,Yes,M,z_High School,z_Blue Collar,10,Private,7930.00,1,Pickup,no,0.00,0,No,1,1,Highly Urban/ Urban
144,0,0,0,37,0,16,43290.00,No,158771.00,Yes,z_F,Bachelors,z_Blue Collar,29,Private,23640.00,1,z_SUV,no,0.00,0,No,0,10,Highly Urban/ Urban
145,0,0,0,48,0,10,48737.00,No,220264.00,Yes,M,Bachelors,Manager,24,Private,11220.00,9,Pickup,yes,0.00,0,No,1,1,Highly Urban/ Urban
146,0,0,0,47,0,12,64259.00,No,202031.00,Yes,M,z_High School,Clerical,26,Private,25100.00,18,Minivan,no,9526.00,4,No,3,9,Highly Urban/ Urban
149,0,0,0,41,0,6,12541.00,No,0.00,z_No,M,<High School,Clerical,5,Private,7500.00,1,Minivan,yes,0.00,0,No,0,1,z_Highly Rural/ Rural
150,0,0,0,47,0,12,104271.00,No,265153.00,Yes,M,Masters,,40,Commercial,36120.00,4,Panel Truck,yes,0.00,0,No,0,11,Highly Urban/ Urban
152,0,0,0,44,1,,67278.00,No,220556.00,Yes,z_F,Masters,Lawyer,49,Private,20210.00,1,Minivan,no,0.00,0,No,0,16,z_Highly Rural/ Rural
153,0,0,0,46,0,10,104990.00,No,306540.00,z_No,z_F,Bachelors,Professional,40,Private,16080.00,13,z_SUV,no,0.00,0,No,0,7,Highly Urban/ Urban
154,0,0,0,49,0,6,89948.00,No,0.00,z_No,z_F,Bachelors,Professional,37,Private,18160.00,7,z_SUV,no,0.00,0,No,4,9,Highly Urban/ Urban
155,0,0,0,33,1,12,111427.00,No,321483.00,Yes,z_F,Masters,,35,Commercial,28180.00,1,Van,no,0.00,0,No,3,4,Highly Urban/ Urban
158,1,1807,1,43,2,11,76159.00,Yes,0.00,z_No,z_F,Bachelors,Professional,52,Private,19750.00,4,z_SUV,no,0.00,0,Yes,0,,Highly Urban/ Urban
159,0,0,0,62,0,6,107734.00,No,0.00,z_No,z_F,PhD,Lawyer,54,Private,18470.00,3,z_SUV,no,0.00,0,No,0,15,Highly Urban/ Urban
160,1,10593.94663,0,42,0,0,0.00,No,,z_No,M,<High School,Student,47,Commercial,5700.00,11,Pickup,yes,0.00,0,No,5,1,Highly Urban/ Urban
161,0,0,0,36,2,12,25282.00,Yes,0.00,z_No,z_F,z_High School,Clerical,38,Private,11160.00,1,z_SUV,no,0.00,0,No,0,1,z_Highly Rural/ Rural
162,0,0,0,47,0,11,18549.00,No,116136.00,Yes,M,Masters,Lawyer,24,Private,12800.00,7,Minivan,no,0.00,0,No,0,14,Highly Urban/ Urban
163,0,0,0,50,0,14,,No,147191.00,Yes,M,z_High School,Clerical,11,Commercial,17300.00,13,Van,yes,0.00,0,No,0,7,Highly Urban/ Urban
164,0,0,0,51,0,9,50166.00,No,187297.00,z_No,M,z_High School,z_Blue Collar,32,Commercial,11620.00,1,Pickup,no,50701.00,3,Yes,0,1,Highly Urban/ Urban
165,0,0,0,46,0,8,73872.00,No,245878.00,Yes,z_F,Masters,Lawyer,43,Private,20240.00,4,Sports Car,no,0.00,0,No,0,16,z_Highly Rural/ Rural
166,0,0,0,50,0,14,73343.00,No,254600.00,Yes,z_F,z_High School,Manager,60,Private,20010.00,1,Minivan,no,4179.00,2,No,4,8,Highly Urban/ Urban
167,1,6158,0,43,2,15,49849.00,Yes,0.00,z_No,z_F,Masters,Lawyer,35,Private,13130.00,1,z_SUV,no,3622.00,3,No,4,20,Highly Urban/ Urban
168,1,4887,1,39,1,16,12054.00,No,0.00,Yes,z_F,<High School,Student,28,Commercial,15760.00,4,Pickup,no,1738.00,2,Yes,4,1,Highly Urban/ Urban
169,0,0,0,43,3,14,48184.00,No,209188.00,Yes,z_F,z_High School,z_Blue Collar,50,Commercial,14530.00,12,Sports Car,no,6891.00,2,No,5,1,Highly Urban/ Urban
170,1,5147,0,60,3,18,78936.00,No,235670.00,Yes,z_F,Masters,Lawyer,40,Private,20350.00,6,z_SUV,no,0.00,0,No,0,15,Highly Urban/ Urban
171,0,0,0,55,0,0,0.00,No,0.00,z_No,M,<High School,Student,33,Private,7000.00,4,Pickup,no,0.00,0,No,0,1,z_Highly Rural/ Rural
172,0,0,0,40,0,10,78914.00,No,229055.00,z_No,z_F,Bachelors,Manager,36,Private,5500.00,10,z_SUV,no,6803.00,2,No,6,10,Highly Urban/ Urban
173,0,0,0,39,0,6,77125.00,No,210840.00,Yes,z_F,Bachelors,Clerical,49,Private,9570.00,7,Sports Car,no,0.00,0,No,1,13,Highly Urban/ Urban
175,0,0,0,38,0,14,25835.00,No,109685.00,Yes,M,z_High School,Clerical,29,Private,8490.00,6,Pickup,yes,0.00,0,No,1,12,Highly Urban/ Urban
176,0,0,0,42,0,12,47660.00,No,180206.00,Yes,M,Masters,Professional,31,Private,11940.00,7,Pickup,yes,974.00,2,No,6,18,Highly Urban/ Urban
177,0,0,0,42,0,10,123143.00,No,306368.00,z_No,z_F,Masters,Manager,16,Private,24930.00,4,Minivan,no,0.00,0,No,3,14,Highly Urban/ Urban
178,0,0,0,49,0,8,22059.00,No,123924.00,Yes,z_F,<High School,Clerical,24,Commercial,21990.00,11,Pickup,no,0.00,0,No,1,1,Highly Urban/ Urban
179,0,0,1,36,1,12,50750.00,Yes,0.00,z_No,z_F,Masters,Manager,26,Private,10170.00,7,z_SUV,no,5877.00,3,No,7,14,Highly Urban/ Urban
180,0,0,0,34,1,10,23571.00,Yes,0.00,z_No,M,z_High School,Clerical,35,Commercial,12180.00,7,Pickup,yes,0.00,0,No,0,7,Highly Urban/ Urban
181,0,0,0,49,0,0,0.00,No,79913.00,Yes,z_F,PhD,Home Maker,29,Private,18110.00,7,z_SUV,no,0.00,0,No,1,1,Highly Urban/ Urban
182,0,0,0,52,0,12,35631.00,No,155972.00,Yes,M,z_High School,Clerical,39,Private,6040.00,10,Minivan,yes,0.00,0,No,0,1,Highly Urban/ Urban
183,0,0,0,50,0,11,129234.00,No,0.00,z_No,M,PhD,Doctor,37,Private,21200.00,4,Van,yes,0.00,0,No,0,,Highly Urban/ Urban
184,0,0,0,53,0,12,,No,0.00,z_No,z_F,<High School,Clerical,16,Private,11650.00,10,z_SUV,no,6175.00,1,No,2,7,Highly Urban/ Urban
185,0,0,0,55,0,14,55409.00,No,162237.00,Yes,M,Bachelors,z_Blue Collar,45,Commercial,27890.00,4,Panel Truck,no,0.00,0,No,0,14,z_Highly Rural/ Rural
187,0,0,0,40,4,15,48067.00,Yes,186025.00,z_No,z_F,Bachelors,Clerical,21,Private,18120.00,8,Minivan,no,0.00,0,No,0,8,Highly Urban/ Urban
188,0,0,0,45,2,12,64867.00,No,210631.00,Yes,z_F,Masters,Lawyer,21,Private,12490.00,1,z_SUV,no,0.00,0,No,0,10,Highly Urban/ Urban
189,0,0,0,80,2,23,97716.00,No,389344.00,Yes,M,Bachelors,Professional,14,Private,15920.00,13,Minivan,yes,0.00,0,No,2,10,Highly Urban/ Urban
190,0,0,0,48,0,10,39613.00,No,159534.00,Yes,M,z_High School,z_Blue Collar,48,Commercial,8460.00,10,Pickup,yes,7437.00,2,No,6,1,Highly Urban/ Urban
191,0,0,0,37,0,11,,No,,z_No,M,z_High School,Student,69,Private,14130.00,1,Minivan,yes,0.00,0,No,1,,z_Highly Rural/ Rural
192,0,0,0,40,0,11,49780.00,No,0.00,z_No,z_F,<High School,Clerical,52,Private,10500.00,6,Sports Car,no,0.00,0,No,0,1,z_Highly Rural/ Rural
194,0,0,0,45,0,11,60845.00,No,0.00,z_No,z_F,Bachelors,Manager,31,Private,24260.00,4,Minivan,no,0.00,0,No,0,18,Highly Urban/ Urban
196,1,6087,0,42,0,12,136344.00,No,0.00,z_No,z_F,PhD,Doctor,45,Private,13160.00,1,Sports Car,no,0.00,0,No,0,17,Highly Urban/ Urban
197,0,0,0,36,0,7,70313.00,No,211506.00,Yes,z_F,Bachelors,Professional,55,Private,14960.00,6,Minivan,no,7650.00,3,No,5,4,Highly Urban/ Urban
